Hostname, Database, foPartner, MemMB, AllocGB,UsedGB,AvailGB,UtilPct,Model, MachineID, MachineSN
csc01v10  , N/A       , csc02v10  ,32635,107.5,32.38,72.74,0.3,SD2-16s,639861d3-09b6-11e1-af0c-83c6a2b949a5,USE140H5BK
csc01v11  , N/A       , csc02v11  ,32635,111.5,31.42,77.46,0.28,SD2-16s,639861d3-09b6-11e1-af0c-83c6a2b949a5,USE140H5BK
csc01v1   , PWFM      , csc02v1   ,32571,433.75,233.09,195.26,0.54,SD2-16s,639861d3-09b6-11e1-af0c-83c6a2b949a5,USE140H5BK
csc01v2   , N/A       , csc02v2   ,71483,109.5,38.34,68.81,0.35,SD2-16s,639861d3-09b6-11e1-af0c-83c6a2b949a5,USE140H5BK
csc01v3   , N/A       , csc02v3   ,40763,107.5,26.41,78.66,0.25,SD2-16s,639861d3-09b6-11e1-af0c-83c6a2b949a5,USE140H5BK
csc01v4   , N/A       , csc02v4   ,32571,74.25,22.07,51.78,0.3,SD2-16s,639861d3-09b6-11e1-af0c-83c6a2b949a5,USE140H5BK
csc01v5   , N/A       , csc02v5   ,42811,357.81,23.17,327.55,0.06,SD2-16s,639861d3-09b6-11e1-af0c-83c6a2b949a5,USE140H5BK
csc01v6   , N/A       , csc02v6   ,32571,107.5,21.73,83.3,0.2,SD2-16s,639861d3-09b6-11e1-af0c-83c6a2b949a5,USE140H5BK
csc01v7   , PIVR1 | PASYS01, N/A       ,40827,639.84,151.88,479.26,0.24,SD2-16s,639861d3-09b6-11e1-af0c-83c6a2b949a5,USE140H5BK
csc01v8   , N/A       , csc02v8   ,32635,107.5,27.8,77.28,0.26,SD2-16s,639861d3-09b6-11e1-af0c-83c6a2b949a5,USE140H5BK
csc01v9   , N/A       , csc02v9   ,32571,107.5,26.04,79.02,0.24,SD2-16s,639861d3-09b6-11e1-af0c-83c6a2b949a5,USE140H5BK
csc02v10  , PIFM | PIFM12, csc01v10  ,32635,335.56,143.07,188.43,0.43,SD2-16s,3aa20bc4-09d5-11e1-bc44-057f86e5dbdb,USE140H5BJ
csc02v11  , PBHYP     , csc01v11  ,32571,760.75,373.13,380.72,0.49,SD2-16s,3aa20bc4-09d5-11e1-bc44-057f86e5dbdb,USE140H5BJ
csc02v1   , N/A       , csc01v1   ,32571,107.5,28.4,76.94,0.26,SD2-16s,3aa20bc4-09d5-11e1-bc44-057f86e5dbdb,USE140H5BJ
csc02v2   , POEM | PRCAT, csc01v2   ,71483,611.75,135.41,468.48,0.22,SD2-16s,3aa20bc4-09d5-11e1-bc44-057f86e5dbdb,USE140H5BJ
csc02v3   , PAGL      , csc01v3   ,40763,629.38,167.46,453.9,0.27,SD2-16s,3aa20bc4-09d5-11e1-bc44-057f86e5dbdb,USE140H5BJ
csc02v4   , POAR      , csc01v4   ,32571,772.31,450.97,316.79,0.58,SD2-16s,3aa20bc4-09d5-11e1-bc44-057f86e5dbdb,USE140H5BJ
csc02v5   , PMER      , csc01v5   ,42811,1326.78,950.8,371.14,0.72,SD2-16s,3aa20bc4-09d5-11e1-bc44-057f86e5dbdb,USE140H5BJ
csc02v6   , PALI      , csc01v6   ,32571,596.12,256.28,333.19,0.43,SD2-16s,3aa20bc4-09d5-11e1-bc44-057f86e5dbdb,USE140H5BJ
csc02v7   , PIVR3 | PASYS02, N/A       ,40827,652,128.26,512.8,0.2,SD2-16s,3aa20bc4-09d5-11e1-bc44-057f86e5dbdb,USE140H5BJ
csc02v8   , PECM | PAGILE9, csc01v8   ,32635,648.12,195.37,444.65,0.3,SD2-16s,3aa20bc4-09d5-11e1-bc44-057f86e5dbdb,USE140H5BJ
csc02v9   , POVSD     , csc01v9   ,32571,323,146.2,171.77,0.45,SD2-16s,3aa20bc4-09d5-11e1-bc44-057f86e5dbdb,USE140H5BJ
csc05v10  , PSTBH | PPRM, csc06v10  ,178043,2841.47,2140.65,690.73,0.75,SD2-16s,1dd80cdc-bdd3-11e2-82a6-c0f0292e1906,SGH313R9KD
csc05v11  , SCLFY     , N/A       ,98170,3535.06,2968.22,559.66,0.84,SD2-16s,1dd80cdc-bdd3-11e2-82a6-c0f0292e1906,SGH313R9KD
csc05v12  , PRHY | PRD2, N/A       ,65402,2677.84,1909.49,760.03,0.71,SD2-16s,1dd80cdc-bdd3-11e2-82a6-c0f0292e1906,SGH313R9KD
csc05v13  , PLAR      , N/A       ,32634,11253.72,7084.55,4134.69,0.63,SD2-16s,1dd80cdc-bdd3-11e2-82a6-c0f0292e1906,SGH313R9KD
csc05v1   , PEPC      , N/A       ,61307,329.06,111.02,212.63,0.34,SD2-16s,1dd80cdc-bdd3-11e2-82a6-c0f0292e1906,SGH313R9KD
csc05v2   , PBCOM     , N/A       ,167803,7023.44,5968.08,1043.6,0.85,SD2-16s,1dd80cdc-bdd3-11e2-82a6-c0f0292e1906,SGH313R9KD
csc05v3   , N/A       , N/A       ,98171,111.19,27.65,81.21,0.25,SD2-16s,1dd80cdc-bdd3-11e2-82a6-c0f0292e1906,SGH313R9KD
csc05v4   , PBDIA     , csc06v4   ,65403,13988.16,7468.82,6466.65,0.53,SD2-16s,1dd80cdc-bdd3-11e2-82a6-c0f0292e1906,SGH313R9KD
csc05v5   , N/A       , csc06v5   ,94075,111.19,30.53,78.36,0.27,SD2-16s,1dd80cdc-bdd3-11e2-82a6-c0f0292e1906,SGH313R9KD
csc05v6   , PBEPP     , N/A       ,77691,2203.03,1354.03,840.58,0.61,SD2-16s,1dd80cdc-bdd3-11e2-82a6-c0f0292e1906,SGH313R9KD
csc05v7   , N/A       , csc06v7   ,57211,107.19,47.08,58.19,0.44,SD2-16s,1dd80cdc-bdd3-11e2-82a6-c0f0292e1906,SGH313R9KD
csc05v8   , PBSUB     , N/A       ,173947,12446.56,11019.34,1410.79,0.89,SD2-16s,1dd80cdc-bdd3-11e2-82a6-c0f0292e1906,SGH313R9KD
csc05v9   , POM       , csc06v9   ,57211,464.44,117.94,339.93,0.25,SD2-16s,1dd80cdc-bdd3-11e2-82a6-c0f0292e1906,SGH313R9KD
csc06v10  , N/A       , csc05v10  ,178043,111.19,33.27,75.56,0.3,SD2-16s,96e0de9e-bc53-11e2-8692-20925ad3e0e5,SGH313R826
csc06v11  , N/A       , N/A       ,98170,132.25,30.02,98.69,0.23,SD2-16s,96e0de9e-bc53-11e2-8692-20925ad3e0e5,SGH313R826
csc06v12  , N/A       , N/A       ,65402,115.5,34.98,77.89,0.3,SD2-16s,96e0de9e-bc53-11e2-8692-20925ad3e0e5,SGH313R826
csc06v13  , N/A       , N/A       ,32634,111.5,25.89,83.02,0.23,SD2-16s,96e0de9e-bc53-11e2-8692-20925ad3e0e5,SGH313R826
csc06v1   , PBCCD     , N/A       ,61307,7861.5,7038.1,814.7,0.9,SD2-16s,96e0de9e-bc53-11e2-8692-20925ad3e0e5,SGH313R826
csc06v2   , N/A       , N/A       ,167803,143.69,34.14,105.24,0.24,SD2-16s,96e0de9e-bc53-11e2-8692-20925ad3e0e5,SGH313R826
csc06v3   , PBCORP    , N/A       ,98171,5845.03,4619.26,1213.76,0.79,SD2-16s,96e0de9e-bc53-11e2-8692-20925ad3e0e5,SGH313R826
csc06v4   , N/A       , csc05v4   ,65403,111.19,24.65,84.19,0.22,SD2-16s,96e0de9e-bc53-11e2-8692-20925ad3e0e5,SGH313R826
csc06v5   , PBECO     , csc05v5   ,94075,4659.06,3192.24,1453.16,0.69,SD2-16s,96e0de9e-bc53-11e2-8692-20925ad3e0e5,SGH313R826
csc06v6   , N/A       , N/A       ,77691,111.19,23.73,85.03,0.21,SD2-16s,96e0de9e-bc53-11e2-8692-20925ad3e0e5,SGH313R826
csc06v7   , PBMKTG    , csc05v7   ,57211,4072.84,3016.36,1046.69,0.74,SD2-16s,96e0de9e-bc53-11e2-8692-20925ad3e0e5,SGH313R826
csc06v8   , N/A       , N/A       ,173947,151.69,28.67,118.28,0.19,SD2-16s,96e0de9e-bc53-11e2-8692-20925ad3e0e5,SGH313R826
csc06v9   , N/A       , csc05v9   ,57211,111.19,24.89,83.87,0.22,SD2-16s,96e0de9e-bc53-11e2-8692-20925ad3e0e5,SGH313R826
csm1v10   , N/A       , N/A       ,178043,177.25,30.35,140.75,0.17,SD2-16s,f073a708-737d-11e1-97c8-6185a2f2f5f0,USE207VMXW
csm1v11   , N/A       , N/A       ,98170,138.25,26.73,107.88,0.19,SD2-16s,f073a708-737d-11e1-97c8-6185a2f2f5f0,USE207VMXW
csm1v12   , N/A       , N/A       ,65402,122.25,32.71,86.87,0.27,SD2-16s,f073a708-737d-11e1-97c8-6185a2f2f5f0,USE207VMXW
csm1v13   , N/A       , N/A       ,32634,106.25,23.83,80.67,0.22,SD2-16s,f073a708-737d-11e1-97c8-6185a2f2f5f0,USE207VMXW
csm1v1    , N/A       , N/A       ,61307,120.25,32.22,85.49,0.27,SD2-16s,f073a708-737d-11e1-97c8-6185a2f2f5f0,USE207VMXW
csm1v2    , N/A       , N/A       ,167803,172.25,24.17,142.3,0.14,SD2-16s,f073a708-737d-11e1-97c8-6185a2f2f5f0,USE207VMXW
csm1v3    , N/A       , N/A       ,98171,138.25,24.42,110.17,0.18,SD2-16s,f073a708-737d-11e1-97c8-6185a2f2f5f0,USE207VMXW
csm1v4    , N/A       , N/A       ,65403,122.25,24.26,95.33,0.2,SD2-16s,f073a708-737d-11e1-97c8-6185a2f2f5f0,USE207VMXW
csm1v5    , N/A       , N/A       ,94075,136.25,26.45,106.27,0.19,SD2-16s,f073a708-737d-11e1-97c8-6185a2f2f5f0,USE207VMXW
csm1v6    , N/A       , N/A       ,77691,128.25,22.77,102.36,0.18,SD2-16s,f073a708-737d-11e1-97c8-6185a2f2f5f0,USE207VMXW
csm1v7    , N/A       , N/A       ,57211,118.25,31.64,84.26,0.27,SD2-16s,f073a708-737d-11e1-97c8-6185a2f2f5f0,USE207VMXW
csm1v8    , N/A       , N/A       ,173947,175.25,24.2,145.08,0.14,SD2-16s,f073a708-737d-11e1-97c8-6185a2f2f5f0,USE207VMXW
csm1v9    , N/A       , N/A       ,57211,118.25,23.2,92.54,0.2,SD2-16s,f073a708-737d-11e1-97c8-6185a2f2f5f0,USE207VMXW
